name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Louisville,2023-02-14,16.4,1.5,9.8,16.4,0.2,9.4,1.5,58.6,0.53,100,12.5,"rain,snow",0,0,48.2,24.9,143.4,1012.2,64.5,16,58.6,5.1,2,10,2023-02-14T07:34:49,2023-02-14T18:20:14,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-15,23.1,14.4,17.9,23.1,14.4,17.9,8.8,57.3,0,0,0,,0,0,51.6,32.4,205.2,1011.5,45.5,16,138,11.9,5,10,2023-02-15T07:33:38,2023-02-15T18:21:21,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-16,17.3,5.9,14.2,17.3,1.4,13.8,12.7,90.2,42.324,100,58.33,rain,0,0,58.3,36.2,187.1,1009.9,94.2,12.6,20.7,1.8,1,10,2023-02-16T07:32:25,2023-02-16T18:22:26,0.88,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-17,4.4,-1.4,1.4,0,-4.6,-3.1,-4.3,65.9,0,0,0,,0,0,55,29.1,301.8,1022.4,94.9,15.7,35.3,3.1,1,10,2023-02-17T07:31:12,2023-02-17T18:23:32,0.91,Overcast,Cloudy skies throughout the day.,cloudy,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-18,8.6,-5,1.8,7.6,-8.7,-0.9,-6.8,55.6,0,0,0,,0,0,22.3,16.6,183.4,1030.3,21,16,163.8,14.1,6,10,2023-02-18T07:29:57,2023-02-18T18:24:37,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-19,15.6,4.7,10.3,15.6,2.1,9.1,-3.4,39.3,0,0,0,,0,0,52.9,31.5,201.8,1017.8,41.2,16,153.9,13.2,6,10,2023-02-19T07:28:41,2023-02-19T18:25:42,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-20,16.7,10.1,12.7,16.7,10.1,12.7,5.9,64.3,0.011,100,4.17,rain,0,0,38.9,22.3,207.6,1008.2,61.5,16,108.4,9.4,6,10,2023-02-20T07:27:24,2023-02-20T18:26:47,0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-21,14.8,6.5,10.7,14.8,4.2,10,-2,45.6,0,0,0,,0,0,33.5,22.3,264.8,1008.8,45.8,16,163.1,14,6,10,2023-02-21T07:26:07,2023-02-21T18:27:51,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-22,24.1,8.1,16.9,24.1,6.1,16.7,10,66.5,11.139,100,33.33,rain,0,0,71.2,43.4,197.2,1005.1,88.4,15.2,78.4,6.8,4,10,2023-02-22T07:24:48,2023-02-22T18:28:55,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KFTK,D1289,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-23,22.5,8.1,17,22.5,4.7,16.9,11.5,72.5,0.103,100,8.33,rain,0,0,51.6,31.2,256,1014.1,63.6,16,124.2,10.6,5,10,2023-02-23T07:23:28,2023-02-23T18:29:59,0.11,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
Louisville,2023-02-24,7.5,-1.1,3.6,5.7,-5.3,0.3,-4.4,56.6,0,0,0,,0,0,47.9,22.6,19.1,1032.3,47.1,16,146.3,12.6,7,10,2023-02-24T07:22:07,2023-02-24T18:31:02,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KFTK,KLOU,AU953,KSDF,72423093821,72424013807,72423513810"
